station_id,station,latitude,longitude,no_of_bikes,network_id
060b5cdb163a466a33c867a3d3d643ee,Vaugirard - Monsieur le Prince,48.848951441614,2.3411329463124,1,velib
76d95de2fa489b3287c50f7b8fa43992,Rond-point du Dr Albert Schweitzer,48.78980918988166,2.3143940046429634,8,velib
146ba8cb83644c5f97a41aef5d403646,Boétie - Ponthieu,48.871417284355,2.3076787590981,1,velib
94426ad2d7f2d578154b9fc0741e50a6,Custine - Ramey,48.888735896947,2.3469526693225,11,velib
5c2cc3d86482f8eb7a2024c4c0a6c6a7,Pyrénées - Ménilmontant,48.8693268535238,2.395084574818611,1,velib
f6f2086e5cd5a502faa6b5428626721c,Caire - Dussoubs,48.86785342111862,2.349364310503006,1,velib
ed48e8a94a3b5e6f3cd48e0ecce358a5,Tour d'Auvergne - Rodier,48.879161,2.343698,0,velib
eb3335b8528855e4669ddd490118c97f,Assemblée Nationale,48.861411014652,2.3201214185208,5,velib
d41d50eb287ee527848755b3a31ee559,Dunkerque - Alsace,48.879355,2.358379,1,velib
9eca9e39a4bd2df5f0a272db2c944f15,Liard - Amiral Mouchez,48.8214169,2.342167,9,velib
1543bd52c06ef5bdb4d4b5ee34cc486a,Gabriel Lamé,48.8351212784276,2.385534569621086,3,velib
5cb98cdf20ab69563923aed8167ae8a9,Las Cases - Bourgogne,48.859091104741,2.3185685276985,2,velib
fe5431d0976be760a51e34e21383f0f9,Félix Ziem - Armand Gauthier,48.88949630486821,2.333393658804396,8,velib
ee5f8237d94f94862fac6e27c8f1c348,Jonquière - Docteur Paul Brousse,48.894799816683985,2.318705212173216,33,velib
67447a40039cae5e6f47f8ffb8fd2b26,Square Louis XVI,48.87320440102894,2.323658830743138,1,velib
55d766b2cfd797e5962b8a5133cb9a33,Youri Gagarine - Karl Marx,48.78448485079149,2.35908430069685,1,velib
99678a6a0780e479f54c08a1305d2a2a,Octave Feuillet - Albéric Magnard,48.86106902949534,2.2730283066630363,4,velib
a5816027f41b2799e91b665c95e1938d,Ney - Porte de Clignancourt,48.8978867,2.3458001,0,velib
18d63d7f1b3c402d11816c5f07658e57,Gay Lussac - Saint-Jacques,48.844730256132095,2.341923944866407,0,velib
27c45001b48e6b0c3965b412f618d813,Place Jean-Spire-Lemaître,48.8468428626593,2.452062070369721,30,velib
9e88938078e837e55a03cf6193682de5,Place Georges Guillaumin,48.874750203956566,2.301771435325988,3,velib
4264d28f99b033dcae11a325376f75b1,Bellefond - Poissonnière,48.87759897050706,2.348463758826256,1,velib
67b871714c5747e4b27c22703cf13013,Jean Oestreicher - Porte de Champerret,48.88655580065981,2.288640439510346,6,velib
ffebae556fb025e5425befa8f1a43308,Alexandre Parodi - Quai de Valmy,48.87935941942529,2.366596162319184,8,velib
a41c910adee6a07881812ef4abcd1e5d,Ségur - d'Estrées,48.851419978983,2.3097044974566,1,velib
415e59bd5a8ba4b267518de1c81f0cd2,Granges aux Belles,48.8761373390584,2.3680844979417,13,velib
8a5aed60fc8805d38fdc6f00088538bf,Regnault - Patay,48.82435782216384,2.377065159380436,61,velib
0f3ac6a9fb5eb3f43e1a0c1980f05f4a,Gare Saint-Lazare - Place de Budapest,48.877753,2.327339,5,velib
894197f05300286868f6ed8858a881c1,Edgar Quinet - Raspail,48.83940266673835,2.32971478253603,1,velib
da851a915c41eb46abc46b738d798530,Clignancourt - Ordener,48.891457726153774,2.348636478060487,9,velib
4c195e576b892f6d3350a36e59a52ff3,Dunkerque - Rocroy,48.880726,2.351464,2,velib
012b17de09d1300f63c8b63067b39063,Abbeville - Faubourg Poissonnière,48.879223,2.349147,1,velib
c6a39a31a86611c31fb3c34bae46e8f5,Boulangers - Cardinal Lemoine,48.8462904,2.3521495,2,velib
de40d516ab36b574ee1990157165d4ef,Boudreau - Auber,48.87219,2.329423,4,velib
b12be68f3b9115784f498398517c80a0,Gare de l'Est - Faubourg-Saint-Martin,48.875642647477,2.3594588041306,10,velib
782947ad7a5d7a2455bb62bb3f1647b9,Pereire - Ternes,48.87973954830735,2.288012132048607,0,velib
557a0531c4372aa3abe987d7052a8cc7,Douai - Bruxelles,48.88320784122797,2.3308449949028507,1,velib
0b0c4f4ae8c238e0b7eaad2c9a2a9325,Champ de Mars - Cler,48.856691550115315,2.306646779179573,4,velib
fe6481666c6964991af2fec0b5573fd3,Quai de l'Horloge - Pont Neuf,48.857058739111,2.3417982839439,2,velib
aa7ead9254a3eeddc94f3a0c1f5401f1,Gare Saint-Lazare - Isly,48.874777677621296,2.326515804784655,4,velib
fe416377651bc1716038b396302b77e0,Ambroise Rendu - Porte Brunet,48.883667,2.395733,2,velib
6cbe15611593e1cffd0a9abf54aeffc8,Gare de Lyon - Place Louis Armand,48.845515089794,2.3726498446286,57,velib
a9bc03f19bd965f2edd21e4292c15c67,Institut de France,48.857615678565,2.3358313530377,1,velib
d69e6c49d6c6695f57da105b15f25945,Porte Pouchet-Bessières,48.8978765,2.3230632,6,velib
cd91e4c9d707d0bebb4bd6677305110e,Vigée-Lebrun - Anselme Payen,48.838683941628375,2.3110422492027287,1,velib
fd8468cc02da7b7af7e2595ecb6732c7,Institut du Monde Arabe - Saint-Germain,48.849063299501,2.3558086529374,0,velib
b88622fa2683838b0565e7e0be139d6e,Octave Gréard - Tour Eiffel,48.856502977696,2.2931787543289,8,velib
c6cd3ee1a82b246c5cb86035faa68d1a,Château - République,48.862923800596,2.4155035614967,3,velib
f4eef18fca1505fcf19873c2f29849bd,Chartres - La Charbonnière,48.8847601,2.3534657,10,velib
e2671fe4b8fcccbbeeaaab7ef7ec9ff0,Lisbonne - Monceau,48.87745567681383,2.309694221419506,3,velib
8d5e18ea3b29e7080dc930aeea34b28d,Moncey - Blanche,48.88006587474148,2.3310810327529907,3,velib
27bde1c8b2832e7f88b2c34a98ec4404,Rochechouart lamartine,48.876719895109,2.344393021853951,3,velib
c112a52278dd51eab5e8e5714fe9ec8e,Jemmapes - Ecluses Saint-Martin,48.87748519186726,2.3660067468881607,7,velib
c923203a02ef3af397694f3c550a182c,Thionville - Ourcq,48.88917613743794,2.3833653330802917,12,velib
bdb86d14e2bd6354e7aa1e7c7610acd4,Gare du Nord - Hôpital Lariboisière,48.881949,2.352339,8,velib
03da963d41687bb7670f411eab74036c,Legendre - Clichy,48.88896161855884,2.322528975094376,17,velib
c503eafcf1cc851ff3626fe92a7d0f9a,Quai de la Seine,48.884492238407525,2.3703941702842717,2,velib
226a0d91ca8223376402711fd4838710,Cité Riverin - Château d'Eau,48.870702423554306,2.358739863900845,3,velib
3cc2baaa200956820d5c8251505afd0e,Mutualité,48.848225572724,2.3502873256803,4,velib
e911d07b60f6a50248e5db3bb3e23668,Rossini - Laffitte,48.87334627510507,2.337980867701675,0,velib
0ee885234307805f3d12d98e8c016fa1,Pyrénées - Emmery,48.872010281270974,2.392039597034455,0,velib
d40c98f308326f0b185cf41bb9a394ac,Diderot - Reuilly,48.847208456061,2.3861273378134,32,velib
acdd3a2005f56b2d29fe9be35e2a7b17,Saint-Ambroise - Parmentier,48.862147844548,2.3772348091006,17,velib
768ddc2b2ca4a55976019dd0b9f6433d,Belidor - Gouvion-Saint-Cyr,48.88022154052015,2.2854680567979813,5,velib
6ab04d33c2786fdee83912ebd000afe1,Place Balard,48.836395736424,2.2784192115068,6,velib
87f0c36c975001dfef7afda904d36892,Place de Rhin et Danube,48.88192765861766,2.392586767673493,12,velib
cfe8facd91fe4fcbc173fe6b051e0524,Roquette - Thiéré,48.85507930579506,2.3733686318721463,4,velib
b11592abb8ce4ddfe3e9739a7bc5cd4e,Berri - Haussmann,48.874746047357135,2.3082953318953514,2,velib
7caaf63216ae02be12a826198641e5a6,Saint-Maur - Roquette,48.858688774062955,2.383553994571467,40,velib
f696f217a77bc8b7e96864fee9ba937d,11 Novembre 1918 - 8 Mai 1945,48.80889533774377,2.5382421165704727,16,velib
508b6b7baae451f439f9dd5486fba870,Place Du Général De Gaulle,48.8687591,2.4329931,16,velib
2f1849de3b0950efa3c1f6ff643e1dc3,Exelmans - Versailles,48.84097491091973,2.264390252530575,11,velib
5b5eb9e7584013b19ee1436863a9847f,Pereire - Rennequin,48.88364782887555,2.2952447086572647,7,velib
1bcceac18c43cbd011a06e94e834004a,Port-Royal - Hôpital du Val-de-Grâce,48.837668272811,2.3448138346607,4,velib
036690096dedbfd7f1935ac0092059fe,Claude Decaen - Cannebière,48.83761417037952,2.397253782195704,20,velib
22f639abbb0f8eec55bae6cb153ceef8,Gare d'Austerlitz,48.842524,2.364044,4,velib
dbb7e83a4d2d4319bffa00d41ab333c5,Desaix - Edgar Faure,48.852804604940296,2.293077029857222,2,velib
3d73de49edcca885c3a7853f26193b02,Delphine Seyrig - Général Leclerc,48.893923963057865,2.39790290594101,4,velib
55a74d7a373b87349702949cca7ba8ab,Panthéon - Valette,48.84702057165222,2.3464982619671075,1,velib
6d5f0ea757d3d4afdd55dfbee5e5c64e,Square Simon Bolivar,48.8750898883217,2.3826304078102116,6,velib
acd91d023955ffa2985c8862fa796cdd,Récollets - Square Villemin,48.875034655883944,2.359801238597928,6,velib
3b7771b8286349881fb9e5b67577eed5,Amelot - Saint-Sébastien,48.86114216276092,2.367799618107727,16,velib
8e9a06c5972efc20de0b1c9e42dd2483,Saint-François-Xavier,48.85154484769,2.3146149516106,5,velib
c3250e94d8848caf3f29646b63ca09a3,Place Marcel Cachin,48.81411442356866,2.39090770483017,20,velib
cd69b7db0fd7ebeee93947815fa06b25,Pyramide - Ecole du Breuil ,48.82237977153955,2.4586871266365056,15,velib
9b91251c38bc1e4e1879ad831cfedad9,Liège - Moscou,48.8795431,2.3264628,3,velib
26a2b9a78176ab057ac5b826aea3df83,Mairie de Montreuil,48.86131452758348,2.440614402294159,15,velib
d69467838ced5f3d7d6af24fe371de30,Richard Lenoir - Republique,48.8667175,2.3692541,5,velib
a31aed60ff2963c8bfe4ff747e3c8cca,Fabre d'Eglantine - Place de la Nation,48.8471116,2.3956204,8,velib
7f19f458f67464338660a1e2ade3c48c,Cimetière de Montmartre,48.886472466142,2.3328901827335,1,velib
912eb7094e4ad06410e858d6cf1c2f35,Bagnolet - Orteaux,48.85708641027236,2.3984125256538396,17,velib
8684a922b92f476994b3017da087b7de,Anatole France - President Roosevelt,48.9155156,2.3814103,24,velib
626aae3b367a4cfa9dde9e771cd171e2,Henry Farman,48.83372430280548,2.2713854536414146,2,velib
d1d05b02773239aaf28322d7b646f520,Jourdain - Place des Grandes Rigoles,48.87403113727167,2.38959476351738,8,velib
a39734a757cc3e8405c726a31447ff3f,Rocher - Laborde,48.87590240712654,2.322616316378116,3,velib
d1da3c0f31aac127904cd3b60055381a,Fontenay - Libération,48.84780306364685,2.445141971111298,5,velib
a3e47b0db0706d8980ad5ce16e4697b2,Grands Moulins de Pantin,48.89738369720229,2.3959985375404362,3,velib
bf825ec63b2762a3c2e10f61cbefe5c5,Gambetta - Saint Fargeau,48.871244610447015,2.4039056897163396,16,velib
d9ab4e54af77924b8e6e4e0f8054af58,Cimetière de Fontenay-sous-Bois,48.84706173362218,2.4787822365760808,12,velib
315c13f5430fa293bc523362d2c9c64e,Gabriel Péri - Francisco Ferrer,48.88633710236977,2.407338917255402,14,velib
660c4f1931862fb44696bdb9a0526799,Place de la Reine Astrid,48.864920982538,2.3025491823859,1,velib
afd259141843f240d250d217854b95e7,Lucie Aubrac - Fort,48.818144834008976,2.271184623241425,15,velib
245619a344ea59289f61f27a9a69a146,Pajol - Place Herbert,48.8927825,2.3635598,25,velib
7eddfddc58844d6d4c34b06ac41d8b5d,Fédération - Suffren,48.852828153442,2.2978776320815,2,velib
a87ab4a2181ddd14a7ef18b8c51dd088,Hôpital Européen Georges Pompidou ,48.83769531916335,2.275374233722687,7,velib
f95e25028557f007a30c969f14d83619,Concorde - Stalingrad,48.7985844,2.3821302,19,velib
b1f0b90f2fa3212b58f1d0021ac41a84,Carducci - Place Hannah Arendt,48.877436681515796,2.3860743641853337,18,velib
369df960ee33506c3a598f5fe8f778d9,Saint-Jacques - Val de Grâce,48.8417514,2.3413893,2,velib
81c6917af57589f4738c3a3b55008ab8,Manin - Carrières d'Amérique,48.88467214209463,2.3919698596000676,15,velib
dd52e0cb096996ac0233416fa8f662ce,Victor Hugo - Jeanne Jugan,48.843949064031825,2.415081394834419,5,velib
e61199a82c0da4eec47ec06c33d86bdb,Porte de Vanves,48.828012849445,2.3056878894567,0,velib
58523eb76e479390d1253e58c81d2818,Place de la République - Voltaire,48.866830968942,2.3654810339212,7,velib
6a2c14f71aefa51eaad2cda6c1e6d220,Conservatoire de Musique,48.77093586667601,2.4034014344215398,13,velib
181c9a16dafc3dcae89058267fb52eae,Gare de l'Est - Fidélité,48.874575,2.356796,3,velib
82afb3ca468026dfa2d45e3232c688f3,Championnet - Vauvenargues,48.89401874744574,2.3319872841238976,12,velib
c6d7a786768ad66d80d8234468700590,Buisson Saint-Louis - Saint-Maur,48.87174684930295,2.3722528328789854,8,velib
16412aab9acb0fed26c215d96d088629,Place Albert Kahn,48.89579697978,2.3455855841349,0,velib
b0a83706c92bf562b073f4e5c1452b89,Gare du Nord - Denain,48.879595787608,2.3544725775719,8,velib
0286062e968424bf7ed0e2730471a58e,Lecourbe - Jean Maridor,48.83796366147599,2.2877392172813416,14,velib
d83374f7eaf870abfc72cf207f2a3b8d,Grenelle - Violet,48.84993035512154,2.294612042605877,11,velib
dac92a394d655d0e3436fe8c7d424535,Repos - Cimetière du Père Lachaise,48.859358523593,2.3896131366845,2,velib
00718dcc2fa34b019d9cba625c94b1e7,Mouton Duvernet - Général Leclerc,48.831632518292565,2.3293121159076686,5,velib
80d99e3a323117129b2639ce06f3fbce,Enghien - Faubourg Poissonnière,48.872420063053,2.3483952362828,3,velib
e2111d9f681c2fda195565830e3d3e50,Place Robert Guillemard,48.836191728066666,2.2811267160086417,14,velib
6804f69932aa639140cd339c2d3033a8,Raspail - Chomel,48.852233164303,2.3266580700874,0,velib
8a621999524f1f819e5fdde38cf379d7,Marc Sangnier - Porte de Vanves,48.825218683556734,2.3107116669416428,2,velib
2c1b9fe1588f2a55133e8ecced090087,Etienne Jodelle - Saint Ouen,48.88794016394694,2.326124420314341,1,velib
d57ebdccece8728e9eadba78c16c3602,Marcelin Berthelot,48.8415473058801,2.233161628246308,13,velib
cd99f6fccb3b8308d3a209ed2d50f6b7,Guy Môquet - Etienne Dolet,48.81527009991819,2.298078276995073,11,velib
b5ab69f1149431d5e2d88e6e48c13bfd,Jean Jaurès - Presles,48.90713441498779,2.396005728053061,11,velib
a728c3796d1b4797469bde32fed91fb2,Boissière - Etienne Dolet,48.876111,2.4677312,12,velib
d2b68e9aee4f8d99eb34c854f3b85736,Edouard Tremblay - Julian Grimaux,48.781383825117,2.3723508417606,6,velib
fb6143e08f09ec21268014e1fead6fbc,Bertie Albrecht - Hoche,48.87614039826388,2.301303138307601,2,velib
4108b785296de89b10b751f5bdfbd586,Sibelle - Alésia,48.826701758539215,2.3384983465075493,21,velib
a64573b5190cc358a71dc8214c79271e,Hôtel de Ville de Boulogne Billancourt,48.83495885166784,2.2416803240776066,3,velib
3ba5474502d0aa75bdd2bfcbd01e01cf,Cevennes - Bergers,48.84240765130395,2.281037718057633,19,velib
872fdfe8bc3d8669b1629ee2d40e0a1d,Molière - République,48.81111581390707,2.3145738624448158,19,velib
fe296c930942ae6a13e8ad2e6ea013de,Chevaleret - Tolbiac,48.82941,2.375934,12,velib
d2b097f9d404bc73221242a9845ec9c7,Hoche - Jean Lolive,48.89110239200789,2.402843534946442,14,velib
f58053884704d8d07239df165354fc96,David Weill - Parc Montsouris,48.821092374256104,2.333725690841675,6,velib
ed0463d727df1ad32249367a3f5636ec,Hôtel de Ville de Nanterre,48.892371898250424,2.205548956990242,28,velib
f98b98a999c735ea43a15b32c22e1eda,Marcadet - Barbès,48.890451120965,2.3490573929687,26,velib
0b23d6bf33059c82ee505fb68802f811,Vaneau - Sèvres,48.84856323305935,2.3204218259345537,5,velib
8561b8c39252e8a4287181c7410b932f,Jean Jaurès - Salvador Allende,48.821475594736775,2.3026576638221745,8,velib
83a12407a969085098c09984ae7b3392,François Debergue - Croix de Chavaux,48.857421708072074,2.437578141689301,7,velib
2c30ff78fb8e28fb3d8b5d188ccaff1c,Nationale - Place Jules Guesde,48.82753962462998,2.2416052222251897,16,velib
5086d6e204e73a68cf7412c7adc80f88,Gabriel Péri - Danielle Casanova,48.790114,2.4025777,19,velib
930b746bb09f1ed84bf66a47f262c746,Route de la Muette - Porte de Neuilly,48.8798926,2.2587671,5,velib
d0453cba0050a3750348d90b8d27f21b,Carnot - Pâquerettes,48.79592939432515,2.4261841177940373,16,velib
b12cdb41cb813c52ad3050b93f4b61f8,Tertres - Fontaine,48.787553654715644,2.306235730648041,12,velib
82be1e73fc5805fc36fdcbce8962a99b,Gare Rer de Fontenay sous Bois,48.8436279,2.4630465,21,velib
d3a2ff3c88a9849b2ee10579018a1364,Raspail - Manufacture des Oeillets,48.8094458,2.3903009,29,velib
85f20fa1ddcb0cb074a830d099dea308,Lucie Aubrac - Franklin,48.86223916006812,2.4435862898826604,4,velib
df01dc24a762fa5b2ad6135745f3eb55,Place de l'Eglise - Vitry-sur-Seine,48.791922819921815,2.395057752728462,24,velib
d01c235cdb4b9097d28e455e2c74be01,Noisy le Sec - Jean-Baptiste Clément,48.87451538963655,2.415283620357514,16,velib
0b38b096fe3eef717615fb15e516c45f,Marcelle - Thalie,48.8835462,2.4137883,10,velib
fdb8945bd7922a97cc52ea4afac6c9a2,Henri Ste-Claire Déville - Paul Héroult,48.892663,2.172411,8,velib
3a05079f559fff0b86fa2bf0921a2f11,Louis Lumière - Porte de Bagnolet,48.86431136000005,2.4105210229754443,2,velib
cb86865b0a02da8981d54f3c56f7e274,Paris - Emile Zola,48.854898095789295,2.4186685681343083,7,velib
12814e3da93b1e24881fef140301edbc,Victor Hugo - Galliéni,48.83802015441127,2.2460845112800603,8,velib
fbaf6d3fa0223f131397ed46900ea8b1,Victoire - Chaussée d'Antin,48.875065791004396,2.3316738009452824,3,velib
f0abcdc6123b221199987eba21c12c12,Proudhon - Président Wilson,48.906442763495,2.3584905266762,25,velib
2f6d0167a95821501cfb9211437e490e,Square Georges Melies,48.84070239213081,2.409667745232582,10,velib
8f275a7310d4ed997c235252009ade6f,Galilée - Kléber,48.86741186571367,2.290781380114821,1,velib
5647d067f510533f3e7b855d4c133ec5,Richard Lenoir - Jean-Pierre Timbaud,48.86580427668637,2.369337074966926,11,velib
78b0c1c2a9b18f24ef024257370b66be,Legendre - Dulong,48.885325169402904,2.316423766314984,6,velib
599ba9ea3625cc347e892274d793ba38,Bosquet - Saint-Dominique,48.85865170952645,2.303716580234576,5,velib
fc93c6ee4f2c083448ae5eba3e4d47c3,Chemin Vert - Saint-Maur,48.86112461407359,2.381299026310444,31,velib
9b500b459bb4c0aba959a354251c0cf3,Quai Panhard et Levassor,48.82837482809675,2.384273745805574,3,velib
3f9290134bb9cc2bfabaa5ee66f4c1ae,Square du Théâtre du Garde-Chasse,48.881287375060616,2.420119643211365,18,velib
2776291e78769421a5615e5dac2adcc2,Botzaris - Parc des Buttes Chaumont,48.877951,2.381464,3,velib
9efb83e6e67306562f7132a15741192e,Faubourg Montmartre - La Fayette,48.87525454905335,2.340853661298752,5,velib
c8ca1d140dac90e5571c377761f51505,Joseph Liouville - Croix Nivert,48.844835471244416,2.297508493065834,32,velib
cf06f90e57e47828b6a78c15756d6efd,Place Madeleine Daniélou,48.883498,2.282015,3,velib
8601c34d7f1a457da026bb956c81e7c5,Estrapade - Ulm,48.84512772828039,2.3454568170361734,0,velib
d19e975e803c256106251152a112ba7a,Parmentier - République,48.8644954,2.3750124,33,velib
ccddc3f74a52fc55e5dd7db77b86033a,Lieutenant Chauré - Etienne Marey,48.86746195408435,2.405970990657807,2,velib
90e25ed0c04c5a9c6f6a2538703f48e4,Cujas - Saint-Michel,48.848191348584,2.341831654854,1,velib
e4a127d37dccdee756337c7e69893c1d,Flandre - Alphonse Karr,48.89465,2.381868,16,velib
62f3254534266bbed321e50393217e5b,Larmeroux - Baudelaire,48.816939911292,2.2809894804846,25,velib
51ebad3d693a45da3f101384aa4cb879,Jean-François Lépine - Stephenson,48.88611466796807,2.356855627529275,13,velib
212a1e559d18d8b3f08ba8f5360fcdfd,Messine - Place Du Pérou,48.875448033960744,2.315508019010038,0,velib
17febe78152206d85bbe08b065dbb864,Beffroy,48.886591074487995,2.261394560337067,10,velib
83dcce208468d87219973e82469ad2ab,Molitor - Chardon-Lagache,48.84520880183234,2.2656840831041336,13,velib
8d718350b29821ee46bbfe1636f9c6be,Général De Gaulle - Alouette,48.839109,2.4175664,23,velib
14aa5a19d30ce4c1724a4a427bb7c144,Abbé Carton - Plantes,48.827673823165846,2.320918142795563,9,velib
3ef1bff58e21edbad3d9f7bee43c7f8c,Marie-Georges Picquart - Pereire,48.88863669349711,2.3111706599593163,12,velib
56717eb48edd3481e0faa47237f12cdc,Sablons - Georges Mandel,48.863875,2.28189,3,velib
e16a89b03100c1a9a31fc0c2de714216,Gare RER de Vincennes,48.847563015126106,2.433383166790009,20,velib
6b23eb8e0e5648bd5dab1e5c23c0819d,Villette - Belleville,48.8726877314,2.376461327076,10,velib
