id,name,review_count,rating,latitude,longitude,price,station,category_alias,category_title,no_of_bikes,network_id
1nWamR8Gv8fPaQfsy3TbNA,La Bécane à Gaston,6.0,5.0,48.87251,2.36112,0,Jemmapes - Ecluses Saint-Martin,french,French,7,velib
JzfIx3vhYalXR9xuu61IOw,Superbières,6.0,5.0,48.8800507,2.3636501,0,Jemmapes - Ecluses Saint-Martin,beer_and_wine,"Beer, Wine & Spirits",7,velib
JzfIx3vhYalXR9xuu61IOw,Superbières,6.0,5.0,48.8800507,2.3636501,0,Jemmapes - Ecluses Saint-Martin,sandwiches,Sandwiches,7,velib
BTs8KoiXPH2jLlURJvta-A,Le Pain des Copains,5.0,5.0,48.87298,2.35803,0,Jemmapes - Ecluses Saint-Martin,bakeries,Bakeries,7,velib
s8WX-lVvG9RUFtpTkkku4A,Restaurant Ella,9.0,5.0,48.87044,2.3531399,0,Jemmapes - Ecluses Saint-Martin,turkish,Turkish,7,velib
NfRFVlK7-4uV8-CcXVi0KA,Two Stories,9.0,5.0,48.8714683,2.3657338,€€€,Jemmapes - Ecluses Saint-Martin,tradamerican,American (Traditional),7,velib
NfRFVlK7-4uV8-CcXVi0KA,Two Stories,9.0,5.0,48.8714683,2.3657338,€€€,Jemmapes - Ecluses Saint-Martin,cajun,Cajun/Creole,7,velib
XrDNvRVXmYXrYTLZZzJyow,Les Résistants,8.0,5.0,48.870082,2.360515,€€€,Jemmapes - Ecluses Saint-Martin,french,French,7,velib
NEEgRG1lU4yb4RfugrR43A,Tony,7.0,5.0,48.87291,2.35424,€€,Jemmapes - Ecluses Saint-Martin,beerbar,Beer Bar,7,velib
NEEgRG1lU4yb4RfugrR43A,Tony,7.0,5.0,48.87291,2.35424,€€,Jemmapes - Ecluses Saint-Martin,cocktailbars,Cocktail Bars,7,velib
Q-iqfYih1nTEEWIWyBt8Pw,Jumbo Express,7.0,5.0,48.8789393,2.3633725,€,Jemmapes - Ecluses Saint-Martin,vietnamese,Vietnamese,7,velib
Q-iqfYih1nTEEWIWyBt8Pw,Jumbo Express,7.0,5.0,48.8789393,2.3633725,€,Jemmapes - Ecluses Saint-Martin,thai,Thai,7,velib
Q6mfWCz0hMu9wsfO1zQy2A,0/Gustave,7.0,5.0,48.87071,2.35641,€€,Jemmapes - Ecluses Saint-Martin,wine_bars,Wine Bars,7,velib
Q6mfWCz0hMu9wsfO1zQy2A,0/Gustave,7.0,5.0,48.87071,2.35641,€€,Jemmapes - Ecluses Saint-Martin,cafes,Cafes,7,velib
vS9_lZDvPPkoQndrqKo79Q,HABILE.,6.0,5.0,48.86965,2.36067,0,Jemmapes - Ecluses Saint-Martin,wine_bars,Wine Bars,7,velib
vS9_lZDvPPkoQndrqKo79Q,HABILE.,6.0,5.0,48.86965,2.36067,0,Jemmapes - Ecluses Saint-Martin,beer_and_wine,"Beer, Wine & Spirits",7,velib
vS9_lZDvPPkoQndrqKo79Q,HABILE.,6.0,5.0,48.86965,2.36067,0,Jemmapes - Ecluses Saint-Martin,restaurants,Restaurants,7,velib
hu53X0AgSKMt8UuHjp5ZLw,Giacomo,6.0,5.0,48.8799748122413,2.36246455460787,0,Jemmapes - Ecluses Saint-Martin,italian,Italian,7,velib
lqJ84DHC4vGOka8laTNfKw,La Vache dans les Vignes,12.0,5.0,48.8696287,2.36711,€€,Jemmapes - Ecluses Saint-Martin,wineries,Wineries,7,velib
lqJ84DHC4vGOka8laTNfKw,La Vache dans les Vignes,12.0,5.0,48.8696287,2.36711,€€,Jemmapes - Ecluses Saint-Martin,cheese,Cheese Shops,7,velib
lqJ84DHC4vGOka8laTNfKw,La Vache dans les Vignes,12.0,5.0,48.8696287,2.36711,€€,Jemmapes - Ecluses Saint-Martin,wine_bars,Wine Bars,7,velib
yxMjypY-Wbgwe9LtynROxw,John Circus,6.0,5.0,48.8748999,2.35562,€€€,Jemmapes - Ecluses Saint-Martin,cocktailbars,Cocktail Bars,7,velib
yxMjypY-Wbgwe9LtynROxw,John Circus,6.0,5.0,48.8748999,2.35562,€€€,Jemmapes - Ecluses Saint-Martin,beerbar,Beer Bar,7,velib
yxMjypY-Wbgwe9LtynROxw,John Circus,6.0,5.0,48.8748999,2.35562,€€€,Jemmapes - Ecluses Saint-Martin,pizza,Pizza,7,velib
i-x9jq6JRv8jpH8SUztwSA,Po Boy,6.0,5.0,48.8718404994787,2.36538011395959,0,Jemmapes - Ecluses Saint-Martin,cajun,Cajun/Creole,7,velib
LwDEWaKJzae_Pswp4f8n5A,5 Pailles,11.0,5.0,48.87322,2.35452,€€,Jemmapes - Ecluses Saint-Martin,coffee,Coffee & Tea,7,velib
dTfNXkhHxZATdgzQhUEPtA,Primeur,5.0,5.0,48.87156,2.37837,0,Jemmapes - Ecluses Saint-Martin,vegetarian,Vegetarian,7,velib
dTfNXkhHxZATdgzQhUEPtA,Primeur,5.0,5.0,48.87156,2.37837,0,Jemmapes - Ecluses Saint-Martin,vegan,Vegan,7,velib
hCNPRyAorAeHoh3YsibMRA,Chennai dosa,5.0,5.0,48.879724,2.35751,0,Jemmapes - Ecluses Saint-Martin,indpak,Indian,7,velib
haFOSMmsts549sIVUXbttw,SAIN Boulangerie,5.0,5.0,48.87193,2.36617,0,Jemmapes - Ecluses Saint-Martin,bakeries,Bakeries,7,velib
BB7mWOm8nHIQh8Iney68Kg,Boulangerie Tembely,9.0,5.0,48.88711,2.35344,€,Pajol - Place Herbert,bakeries,Bakeries,25,velib
IO8XFm4B0xoZlJDp_LhS0w,Le 104,9.0,4.5,48.890225,2.370082,€€,Pajol - Place Herbert,italian,Italian,25,velib
