fsq_id,name,popularity,rating,latitude,longitude,price,station
5710c77a498e3021c0641aa9,Hardware Société,0.9906764182561916,9.2,48.886877,2.344563,2.0,Toudouze - Clauzel
4b673be3f964a520e5422be3,Galeries Lafayette,0.9996619612015314,9.2,48.873116,2.330451,3.0,Toudouze - Clauzel
4adcda17f964a5204f3821e3,Le Trianon,0.994075149431492,9.2,48.88289,2.343005,0.0,Toudouze - Clauzel
51c5f55d498e59e2ebcc7742,La Boite aux Lettres,0.9885800536145256,9.2,48.88678,2.338135,0.0,Toudouze - Clauzel
4d541304d4a6721e9b5691ac,Boulangerie Alexine,0.9895627245403066,9.2,48.886093,2.334619,1.0,Toudouze - Clauzel
50edcbb9e4b0f4e820906b4e,Septime la Cave,0.9820944255043722,9.5,48.853707,2.380189,2.0,Charonne - Robert et Sonia Delaunay
564f964b498e03abff0be2ab,Louie Louie,0.9762062613170936,9.2,48.853438,2.380284,1.0,Charonne - Robert et Sonia Delaunay
4dc1490a22713750ba78c198,Septime,0.9714763385943352,9.0,48.853571,2.38088,3.0,Charonne - Robert et Sonia Delaunay
515f4bd0e4b03c1e7855b051,Mel,0.056227120145278,9.0,48.850985,2.381634,0.0,Charonne - Robert et Sonia Delaunay
527d495611d201ce6ba8fb48,Clamato,0.980941424951456,9.0,48.853571,2.38088,3.0,Charonne - Robert et Sonia Delaunay
50a68565e4b0540fe03b01ff,Paris Saint Biere,0.9357149782633192,9.0,48.854522,2.38421,0.0,Charonne - Robert et Sonia Delaunay
4c0fba0315c2ef3b077e1b08,Le Chardenoux,0.9631616323343284,8.9,48.852809,2.384976,3.0,Charonne - Robert et Sonia Delaunay
562b7821498efaeee3059e89,Fulgurances l'Adresse,0.9576534342383514,8.9,48.852893,2.389757,3.0,Charonne - Robert et Sonia Delaunay
4b584778f964a520b55028e3,Le Merle Moqueur,0.951487501736052,8.9,48.857088,2.397894,0.0,Charonne - Robert et Sonia Delaunay
534e7fc1498e475c9cf55c6d,Le Servan,0.9804225747026438,8.8,48.861057,2.381381,2.0,Charonne - Robert et Sonia Delaunay
4adcda15f964a520873721e3,La Cinémathèque française,0.997290448700647,9.1,48.837231,2.38249,0.0,Mairie du 12ème
4b4f8c95f964a520000b27e3,Musée des Arts Forains,0.9835697421209444,8.9,48.832653,2.389255,0.0,Mairie du 12ème
