empty_slots,free_bikes,id,latitude,longitude,name,timestamp,extra.online,extra.slots,extra.slots_available,extra.uid,network_id,extra.address,extra.last_updated,extra.renting,extra.returning
9,3,9d69090c97b0e7f48507d1b8e0aea385,50.9542196998674,1.90216401284113,45 : N. Niemen,2023-09-24T17:27:39.839000Z,True,18,12.0,50,vel-in,,,,
13,2,18ce6a4e1fc97e03ca8b46c45dac7a4f,50.9391749469231,1.8746679497533,47 : Détroit,2023-09-24T17:27:39.839000Z,True,18,15.0,51,vel-in,,,,
2,1,665e3448257e49e150f228524e3906ab,50.9678605017257,1.89620947974424,44 : Garennes,2023-09-24T17:27:39.841000Z,True,3,3.0,53,vel-in,,,,
4,5,83687ac258034637ad3db854ea69c8a4,50.8910715553636,1.88117527116469,49 : Banc Valois,2023-09-24T17:27:39.843000Z,True,12,9.0,57,vel-in,,,,
6,3,633d0d8716c3c593fb83d2b1300614f4,50.8836023507373,1.90332148587345,50 : Pont à Vaches,2023-09-24T17:27:39.844000Z,True,9,9.0,58,vel-in,,,,
12,0,79ae2c701424c32e3ba0eeb188ee3130,50.8701098699214,1.86920730972497,51 : Jean Bosco,2023-09-24T17:27:39.845000Z,True,12,12.0,59,vel-in,,,,
12,0,39747158053ece35bc6f02acb59dacff,50.8653360130927,1.869189370252,52 : 4 Vents,2023-09-24T17:27:39.849000Z,True,12,12.0,60,vel-in,,,,
7,5,f00e3a2f74330773055b1f175498f5a5,50.8726165096897,1.86981648511812,53 : Batelage,2023-09-24T17:27:39.850000Z,True,12,12.0,61,vel-in,,,,
12,3,0a61f542e892f6bddaf6edc3046224ac,50.9628729738197,1.83556111129514,08 : Milieu de Digue,2023-09-24T17:27:39.798000Z,True,18,15.0,8,vel-in,,,,
3,3,68940ed4c130db4341c5ed855d01277f,50.974572973325,1.87844448708857,54 : Terminal Ferry,2023-09-24T17:27:39.850000Z,True,6,6.0,62,vel-in,,,,
4,2,ecdef2c2da6582d4219a55dedcaa667f,50.9824278011226,1.96719002752833,55 : Eglise des Hemmes,2023-09-24T17:27:39.851000Z,True,6,6.0,63,vel-in,,,,
2,1,a68d9f361bec6c1ff841c8b2ffeffaa3,50.9078001672588,1.83734983554901,56 : Mairie de Nielles,2023-09-24T17:27:39.852000Z,True,6,3.0,64,vel-in,,,,
1,2,3a2b27dc831bd9b3c51816329fbc5a0b,50.9084494422403,1.82474803794179,57 : Sainte Marguerite,2023-09-24T17:27:39.853000Z,True,3,3.0,65,vel-in,,,,
2,4,c0be5956bd35dc7d3078726233cd6482,50.9171379802201,1.82425953982947,58 : Eglise de Frethun,2023-09-24T17:27:39.865000Z,True,6,6.0,66,vel-in,,,,
