category_alias,category_title,id
wine_bars,Wine Bars,BR25gexBROPbNOuz0XgXDQ
beerbar,Beer Bar,BR25gexBROPbNOuz0XgXDQ
pizza,Pizza,VLk9hr7jYGgUujYkqver7A
french,French,VLk9hr7jYGgUujYkqver7A
wine_bars,Wine Bars,VLk9hr7jYGgUujYkqver7A
mideastern,Middle Eastern,kPyqVsm4qdXb9sZvRQ8k2Q
pubs,Pubs,WtZnM3ihizTHiKQnO7RTtQ
pizza,Pizza,DSMFt9iDBuSm18s2C8ZcgA
french,French,DSMFt9iDBuSm18s2C8ZcgA
italian,Italian,DSMFt9iDBuSm18s2C8ZcgA
pizza,Pizza,idE1IsuSdkTmatYIQGQ8JA
italian,Italian,idE1IsuSdkTmatYIQGQ8JA
pizza,Pizza,ROcEH_ESZp6hV_k09eQ4mQ
bistros,Bistros,aKjfwIP192Vw1OC4Lirq-A
wine_bars,Wine Bars,EGaSDUrhj2QGcfD87IIdJw
french,French,EGaSDUrhj2QGcfD87IIdJw
italian,Italian,Tn63b3wXUoXuEedkKaQJyw
bbq,Barbeque,y_cYyZ5gGA1WjNqcrucl-w
breakfast_brunch,Breakfast & Brunch,lyo0XqwY4iB6K3PcQX2sww
french,French,lyo0XqwY4iB6K3PcQX2sww
cafes,Cafes,taedvvHE1GIYobAAu7WrIA
bars,Bars,taedvvHE1GIYobAAu7WrIA
desserts,Desserts,vKETCYfbc5IZlhyr5SjvpA
delicatessen,Delicatessen,vKETCYfbc5IZlhyr5SjvpA
sandwiches,Sandwiches,vKETCYfbc5IZlhyr5SjvpA
pizza,Pizza,47wYMlaIBVzcjUNmwuBWSQ
italian,Italian,47wYMlaIBVzcjUNmwuBWSQ
italian,Italian,zj_VG6_wjhJK30su7ZZCyg
tapas,Tapas Bars,IKCv97UEI-4gp133NzW8HQ
wine_bars,Wine Bars,gfCBVPT48Noe4qGEVkpN5g
pizza,Pizza,HO31AKmlmywDkpcwhDWh-A
italian,Italian,HO31AKmlmywDkpcwhDWh-A
japanese,Japanese,De9ggm_AZYtUbg4NMuxxsg
bakeries,Bakeries,APHdwLHJ1Qggnq1OripT_A
bistros,Bistros,eLppXlyGwUwqvlSHmpHIgg
french,French,eLppXlyGwUwqvlSHmpHIgg
bakeries,Bakeries,SIgX2ygdmJ5MozV9yzGYvw
srilankan,Sri Lankan,LiswnNHQWuf2VO9C_2d59Q
italian,Italian,iCC9ruwg8jVLxt77syO8XQ
pizza,Pizza,iCC9ruwg8jVLxt77syO8XQ
french,French,8HayzmdrC1JqWLi_7uonSA
greek,Greek,JSuT7a7vgZVGyCvQMYSemg
panasian,Pan Asian,b-bFPUjflbPMEZ6Z1Co9Wg
italian,Italian,4xLQMBNHCrtCJ2wj-pAXUQ
french,French,eoUCWArm9w8kXtyA0N7MoQ
asianfusion,Asian Fusion,V6-KvEIECs8P2cXayCO22Q
coffee,Coffee & Tea,Yz-FRQ1qlXBxXX7YADx0KQ
burgers,Burgers,6GOzjK6ONKw2mCxGSc4gqA
seafood,Seafood,r5hIJbPCB2Q0_sw1EBS4Zw
burgers,Burgers,r5hIJbPCB2Q0_sw1EBS4Zw
cocktailbars,Cocktail Bars,r5hIJbPCB2Q0_sw1EBS4Zw
bistros,Bistros,eW7xda0_ISEo_1ZG8g22WQ
pizza,Pizza,b95KnQnbSXGNFMlJVcJVnA
beerbar,Beer Bar,FyROvdQq9ZeGwtD40u0e4Q
cocktailbars,Cocktail Bars,0yly7egVha2qZWsM_54imw
chinese,Chinese,I5ABgPbV2IyPOZIIFmNzow
french,French,IV-U3hpsW7eL0eB3ogSc9A
beerbar,Beer Bar,IV-U3hpsW7eL0eB3ogSc9A
cocktailbars,Cocktail Bars,IV-U3hpsW7eL0eB3ogSc9A
french,French,u0g7WQaFcrIBhG29TSzWJw
italian,Italian,7oFpNTCcsQZE0RbFp7Y3BA
seafood,Seafood,R3bELm2-TJPBNu3Y9edaGA
japanese,Japanese,sELjVQsud9aKqLhBC9vNqw
mediterranean,Mediterranean,2VjVSIw300_iDsK_gi_emg
vietnamese,Vietnamese,53U3AEWiVgf-vKVfithMrw
french,French,rkNa2PaSNb1Y8zDu9fHbww
cocktailbars,Cocktail Bars,rkNa2PaSNb1Y8zDu9fHbww
creperies,Creperies,RxLHqvoEE62nwIcsxA3VHA
breakfast_brunch,Breakfast & Brunch,RxLHqvoEE62nwIcsxA3VHA
delicatessen,Delicatessen,gW2d26Iz5c4gesMCZ7agHA
sandwiches,Sandwiches,gW2d26Iz5c4gesMCZ7agHA
japanese,Japanese,lZWlDIhp9cbnJN4FvmoTBg
lebanese,Lebanese,yFZ1_kGVYiTwqNR2O4HQqA
creperies,Creperies,AzmLFVuOHT3QbfGcoLe4qg
sandwiches,Sandwiches,AzmLFVuOHT3QbfGcoLe4qg
french,French,DUjjUkDexVXd3hef0rhlZg
italian,Italian,KsPNOKokkwf6lTNQiF5Q4w
coffee,Coffee & Tea,d_FCQt27rR-uJypwgjFPbg
indpak,Indian,oBry7omEm5kavp_l86AjCA
french,French,EmeR6gAn-CUNaKE4icbgnw
french,French,1S3P9O2J2e7JPv2UmRSsLw
modern_european,Modern European,3nJa6ra1CetN2HTaIzUXoA
french,French,vXBXu2G6YaiGHsH4wO3wEw
french,French,4AlcEZLAWfGWyCkRcQoWuw
italian,Italian,zFxHWHYX6_MQcnso2KSBag
french,French,AIgHVORoeEsGKKVZVSNlPg
japanese,Japanese,kpxcH7VsExHmbjzRHgizVw
amusementparks,Amusement Parks,FJjyEXO6UTirJzQtwwx44Q
french,French,2oKjqg386xiVUN3tOFFrug
cafes,Cafes,uSbrVw_sVHOthg63MwJBxA
breakfast_brunch,Breakfast & Brunch,uSbrVw_sVHOthg63MwJBxA
bistros,Bistros,W1BQq4zOuiOnR3jgnPWNDQ
bakeries,Bakeries,lGRVrfoE-6vd7nfVHzfkaw
mediterranean,Mediterranean,xU7XqyR-7gbdQeY7kSfJOA
hotdogs,Fast Food,xU7XqyR-7gbdQeY7kSfJOA
mideastern,Middle Eastern,xU7XqyR-7gbdQeY7kSfJOA
french,French,vBgH6P6TGe5WiEIYY32zug
tapasmallplates,Tapas/Small Plates,H-zQAY6zHAb-fWpJnpPh2g
cocktailbars,Cocktail Bars,H-zQAY6zHAb-fWpJnpPh2g
french,French,2iXqrG7UVTQj4VLX9ts7ZQ
creperies,Creperies,JbITkgisChYWtrAxsnFRTw
french,French,C0E_6Vkp4_ZkOhshlaUzfA
seafood,Seafood,C0E_6Vkp4_ZkOhshlaUzfA
cafes,Cafes,1SqrXDSixGOGpUrM7FYYeg
breakfast_brunch,Breakfast & Brunch,1SqrXDSixGOGpUrM7FYYeg
french,French,2BdUhnAAPohrmbX-8FWwyQ
tea,Tea Rooms,qYtTvEq5ZLDbQYisalAIUw
pizza,Pizza,EVHq81kzEilIWvm06roNbQ
italian,Italian,EVHq81kzEilIWvm06roNbQ
auvergnat,Auvergnat,GxyDiKMzNyE-7Sui55h7jw
parks,Parks,bY3F-s9tLFgZMMaC0FrLAA
bistros,Bistros,8sKh4WaYS6jAFfnz8cdQLQ
french,French,gEFwkNmam8Dev4EXmc-BlQ
french,French,RFYaxrDX1uT1ZlNOdfuDOA
restaurants,Restaurants,l71FXlZrExpRs5RqX9Ty-A
kosher,Kosher,lgCDqPkFhnvn_qTDFphdYA
burgers,Burgers,lgCDqPkFhnvn_qTDFphdYA
bakeries,Bakeries,uqX65Je_8GAvvhsqG6X5ow
french,French,x3OIwHaSHcfN5z0KWnuC4g
creperies,Creperies,QKOaZpL4tnhEBFyd0EeeCA
seafood,Seafood,CB8HN0AnBxV3jEZYggsTVQ
bakeries,Bakeries,ygxg5QxtApRZtQtv2nkaxw
bakeries,Bakeries,UVaUpD0MsW4GUX9AeRtTkw
wine_bars,Wine Bars,9m27lKBvquj1XVn94ytW3w
italian,Italian,9m27lKBvquj1XVn94ytW3w
creperies,Creperies,dONNqHhumDtsnxgXI1FFdw
modern_european,Modern European,Y3jckbVRuGWNNS1sFz2vKw
bistros,Bistros,Y3jckbVRuGWNNS1sFz2vKw
bakeries,Bakeries,jVspEfYCGnJVg0FNeP6LeQ
italian,Italian,-rcpysSmRK2hqapL0OCW8g
french,French,RS7zLsdgYgYvErU1ZljifQ
naturopathic,Naturopathic/Holistic,cI4V2GfhtUIFHq9FW5ptHg
gluten_free,Gluten-Free,cI4V2GfhtUIFHq9FW5ptHg
cafes,Cafes,cI4V2GfhtUIFHq9FW5ptHg
desserts,Desserts,0tO0G-_b4HXY8jBMY8Nhlg
bakeries,Bakeries,0tO0G-_b4HXY8jBMY8Nhlg
panasian,Pan Asian,Y_a6B6XEeIXSyF5pyfLEWg
japanese,Japanese,jUoy1vo748LNM_iyq_vBFg
sushi,Sushi Bars,jUoy1vo748LNM_iyq_vBFg
french,French,DO20Zh_yvk3UJeWiA_Xt7w
moroccan,Moroccan,W9YBfaQ8snwoKBi5EWG5Fw
catering,Caterers,eZZwkHbvjKBX6kvW5vZLUQ
indpak,Indian,eZZwkHbvjKBX6kvW5vZLUQ
brasseries,Brasseries,kjQpLIlnJ8u-y2PvnHVLsA
burgers,Burgers,cKRSQzqdzNX8ScMz4IVx3g
cafes,Cafes,syOSxYizAeqZXYHLq3pt9w
coffee,Coffee & Tea,syOSxYizAeqZXYHLq3pt9w
pizza,Pizza,5Sp2qtqWdIvG6chl6DSj2Q
italian,Italian,5Sp2qtqWdIvG6chl6DSj2Q
landmarks,Landmarks & Historical Buildings,kz3PdcEnAFqxzsFGYupF_w
museums,Museums,PWwvwAQicQWYPrdq1CrYPA
creperies,Creperies,iHREoX93HaxUnRKokxo1UA
food,Food,hLmtXEesqatsMcNq4la9KQ
bars,Bars,hLmtXEesqatsMcNq4la9KQ
french,French,zalgIn8YW47VOsirkOtHxA
italian,Italian,zalgIn8YW47VOsirkOtHxA
pizza,Pizza,zalgIn8YW47VOsirkOtHxA
restaurants,Restaurants,LYxAyKTwXol9figyY3A6qA
french,French,xMrM_pXbMu1zGw34wOM3VA
vegetarian,Vegetarian,6W3XS-k6YrebddH9Ar1AkA
museums,Museums,7hzY5uBLnaw5NrlGarE8-A
bbq,Barbeque,pLUm26Dv_20xuvi3lAKXdw
moroccan,Moroccan,pLUm26Dv_20xuvi3lAKXdw
restaurants,Restaurants,uBDdjVzoiMzQ9e19PDkyvQ
italian,Italian,PkYTk9ulPKAzIuNGua86Aw
panasian,Pan Asian,3YvRY02qCn7cSzZQqxx4lQ
belgian,Belgian,f9JOcYHga32nYb2R3V6TaQ
lounges,Lounges,qaFNRQDmsW89gN7atsGg2w
brasseries,Brasseries,qaFNRQDmsW89gN7atsGg2w
foodtrucks,Food Trucks,DcwuFWMFy8dHhwmJAeeaAA
african,African,DcwuFWMFy8dHhwmJAeeaAA
caribbean,Caribbean,DcwuFWMFy8dHhwmJAeeaAA
restaurants,Restaurants,qovtaOGnFK4c3KpADY9ezg
japanese,Japanese,eenXnM3j8jxoJBvVCBkxvg
