category_id,category,fsq_id
18064,Soccer Field,4f4d4213e4b063a3e170a08b
10039,Music Venue,4ba4fe9bf964a520bccd38e3
10043,Theater,4ba4fe9bf964a520bccd38e3
13065,Restaurant,4ba4fe9bf964a520bccd38e3
17069,Grocery Store,5998132c898bdc4a9a179c03
17057,Food and Beverage Retail,4ca255641f709eb0d22dfa94
17043,Clothing Store,4e58f0cc483b865169d705a1
17052,Women's Store,4e58f0cc483b865169d705a1
16032,Park,4e7ede0e8b81ad7de86e4613
13031,Burger Joint,4d91bb4a033ba35d3176750d
13145,Fast Food Restaurant,4d91bb4a033ba35d3176750d
17069,Grocery Store,56af464a498e4972bc9737ce
13379,Vietnamese Restaurant,4b75abe4f964a520cf1b2ee3
13003,Bar,55abde31498e6e43c84042bc
13035,Coffee Shop,55abde31498e6e43c84042bc
13379,Vietnamese Restaurant,55abde31498e6e43c84042bc
13027,Bistro,4fdf66a0e4b0767cc7fc9764
13034,Café,4fdf66a0e4b0767cc7fc9764
13148,French Restaurant,4fdf66a0e4b0767cc7fc9764
13064,Pizzeria,4c7ce919a141b1f767476c79
13236,Italian Restaurant,4c7ce919a141b1f767476c79
18058,Snow Sports,4bbf5464b083a5936935a3e9
17069,Grocery Store,4b9bb17ff964a520c71a36e3
12075,Post Office,52b84667498e879916e7fe51
17059,Butcher,5af58d5aba57b4002cfa8be3
17069,Grocery Store,5af58d5aba57b4002cfa8be3
18000,Sports and Recreation,510b898ee4b03bf824274da9
17057,Food and Beverage Retail,5cf956d68a6f17002c403077
10006,Bowling Alley,4d852d6a5ad3a0934625e0fd
11039,Event Space,4b5ec454f964a520079829e3
16032,Park,4adcda0ef964a5204c3521e3
13002,Bakery,4d5ea2db9f67f04db4f062fb
13047,Pastry Shop,4d5ea2db9f67f04db4f062fb
13334,Sandwich Spot,55815f5e498ec764d847035f
13145,Fast Food Restaurant,55815f5e498ec764d847035f
13003,Bar,4c6d6ca165eda093cf8f4ed0
13035,Coffee Shop,4c6d6ca165eda093cf8f4ed0
13152,Brasserie,4c6d6ca165eda093cf8f4ed0
13152,Brasserie,4adcda05f964a520873221e3
13099,Chinese Restaurant,4efe1f5d9911b33a0f4dd08f
12009,Education,4eb294ea6c25aecd47132898
15016,Medical Center,5fe4bccb3ac73f6514e68911
17069,Grocery Store,4c8776f0d92ea09370007672
18000,Sports and Recreation,4dcfc4b97d8b975f18ef5f39
13055,Fried Chicken Joint,59d68e5f037be1208e7ff035
13148,French Restaurant,59d68e5f037be1208e7ff035
13064,Pizzeria,4df3e6c245dd4e2693426bdc
13067,African Restaurant,4df3e6c245dd4e2693426bdc
13313,Moroccan Restaurant,4df3e6c245dd4e2693426bdc
13148,French Restaurant,56e025b7498efee80178e180
13148,French Restaurant,4b8d7582f964a520f7fc32e3
13236,Italian Restaurant,4b697ca2f964a52030a42be3
13276,Sushi Restaurant,4bb33f78715eef3b100f86bb
18075,Swimming Pool,4b4cc470f964a52006be26e3
18056,Skating Rink,4adcda23f964a5205f3a21e3
13148,French Restaurant,4c0175b0f7ab0f477e2916b6
13035,Coffee Shop,52a6c5a9498e6afa46fbf13b
13065,Restaurant,52a6c5a9498e6afa46fbf13b
13006,Beer Bar,54469172498ed34e0178dc37
10031,Science Museum,4adcda0ff964a520683521e3
16037,Playground,4bcb34b03740b7130ef46165
13145,Fast Food Restaurant,4bca09f70687ef3ba719dbcc
13148,French Restaurant,4bca09f70687ef3ba719dbcc
13177,Greek Restaurant,4bca09f70687ef3ba719dbcc
13064,Pizzeria,4e7e3931d22d1f219890e88b
13236,Italian Restaurant,4e7e3931d22d1f219890e88b
13035,Coffee Shop,5134df1fe4b0fb51933777ef
13036,Tea Room,5134df1fe4b0fb51933777ef
13145,Fast Food Restaurant,5134df1fe4b0fb51933777ef
13148,French Restaurant,4adcda11f964a520f63521e3
13177,Greek Restaurant,4adcda11f964a520f63521e3
13302,Mediterranean Restaurant,4adcda11f964a520f63521e3
13236,Italian Restaurant,5daf5ce348f796000802bc27
10027,Museum,4adcda0ff964a5207f3521e3
13148,French Restaurant,59822a59e96d0c565387343e
13002,Bakery,55ab746d498e124b1e4a89b7
13006,Beer Bar,5c6c0fa6c8b2fb002c4e8544
13035,Coffee Shop,5c6c0fa6c8b2fb002c4e8544
13065,Restaurant,5c6c0fa6c8b2fb002c4e8544
13148,French Restaurant,589af97f55d6220190f3c214
17058,Beer Store,562ce4a0498e3302dec98d20
17080,Wine Store,562ce4a0498e3302dec98d20
16026,Monument,4adcda09f964a520de3321e3
13148,French Restaurant,53f72f4f498e240441adcfc5
11057,Caterer,4c40a4fbe26920a13c385de7
13027,Bistro,52cd4623498e7cfc3bc364c7
13145,Fast Food Restaurant,52cd4623498e7cfc3bc364c7
13148,French Restaurant,52cd4623498e7cfc3bc364c7
13002,Bakery,4cbabc6d035d236aea30dc4e
13047,Pastry Shop,4cbabc6d035d236aea30dc4e
17069,Grocery Store,4c5a71f16407d13aa4b7b428
17057,Food and Beverage Retail,4c08c862f23f9521f5809628
17069,Grocery Store,4e55080c22710ebb5a915622
17096,Miscellaneous Store,57a3934e498e77252f2a3b93
11096,Plumber,b483d221ca76465fab0d05d3
17057,Food and Beverage Retail,4da02cf7bcc4a0939e440ac9
12058,Elementary School,67cea1fc3b634b1c0dff8d8c
16041,Plaza,4b82c9adf964a520f7e430e3
13046,Ice Cream Parlor,5023fdf4e4b0b3d65ba53fa9
13065,Restaurant,5023fdf4e4b0b3d65ba53fa9
13064,Pizzeria,5581ba79498e2d654886dbad
13258,Trattoria,5581ba79498e2d654886dbad
17043,Clothing Store,4c4dbdf29efabe9af5840169
17052,Women's Store,4c4dbdf29efabe9af5840169
17058,Beer Store,509ceef329a664775e200554
17076,Liquor Store,509ceef329a664775e200554
13145,Fast Food Restaurant,50543808c84c7e50721da3a6
13334,Sandwich Spot,50543808c84c7e50721da3a6
13027,Bistro,583491ed6c682b6191d2a6ae
13148,French Restaurant,583491ed6c682b6191d2a6ae
13347,Tapas Restaurant,583491ed6c682b6191d2a6ae
17082,Furniture and Home Store,4adcda1ef964a520353921e3
13236,Italian Restaurant,4b883a55f964a520e2e831e3
13134,Comfort Food Restaurant,56a761b3498ec81a0c540d0c
13148,French Restaurant,56a761b3498ec81a0c540d0c
13022,Sports Bar,4c6a716dc946e21e0aa3ec8e
13064,Pizzeria,4c6a716dc946e21e0aa3ec8e
13152,Brasserie,4c6a716dc946e21e0aa3ec8e
13027,Bistro,4bd88a0f11dcc9284ac7f633
13151,Basque Restaurant,4bd88a0f11dcc9284ac7f633
13347,Tapas Restaurant,4bd88a0f11dcc9284ac7f633
13289,Korean Restaurant,4bbf8b402a89ef3b061bef88
13298,Lebanese Restaurant,4b505eb8f964a5208a2127e3
16032,Park,4b72f288f964a52075912de3
19000,Travel and Transportation,4b72f288f964a52075912de3
16032,Park,4af7347af964a520230722e3
13148,French Restaurant,51a0d2a7498ec2b22f99eb55
17018,Bookstore,4ba205e7f964a520e8d637e3
16007,Structure,51a2445e5019c80b56934c75
16006,Bridge,4bcae3ec937ca593289aa892
13152,Brasserie,4d0a627f5edd5481a159059b
13006,Beer Bar,58a229bcfd27163ad03ea582
13035,Coffee Shop,58a229bcfd27163ad03ea582
13065,Restaurant,58a229bcfd27163ad03ea582
16000,Landmarks and Outdoors,4b0d54cbf964a520764623e3
13148,French Restaurant,4e078807e4cdefcff6dce4f6
13027,Bistro,5904fdf3cad1b6166c61078b
16032,Park,4bc0b864b492d13ad8b9a460
13152,Brasserie,4ca4e797d971b1f7e8e9f1e0
10024,Movie Theater,52694978498e0b407e4d9ccc
13152,Brasserie,4c0956e8a1b32d7f298297f0
17030,Cosmetics Store,4adcda1ef964a520423921e3
17025,Electronics Store,5b982ec3f5e9d7002cc1cd2d
13064,Pizzeria,4be9af92246fb71301d1abdf
13236,Italian Restaurant,4be9af92246fb71301d1abdf
13006,Beer Bar,4c17886f30d30f47e49f36a9
13010,Dive Bar,4c17886f30d30f47e49f36a9
13035,Coffee Shop,4c17886f30d30f47e49f36a9
13002,Bakery,4c51ac069426c928eb1c2a74
13047,Pastry Shop,4c51ac069426c928eb1c2a74
13065,Restaurant,4c51ac069426c928eb1c2a74
13027,Bistro,4adcda14f964a5200d3721e3
13152,Brasserie,4adcda14f964a5200d3721e3
13031,Burger Joint,4b5ee72df964a5203a9d29e3
13148,French Restaurant,4b5ee72df964a5203a9d29e3
13383,Steakhouse,4b5ee72df964a5203a9d29e3
13027,Bistro,4c49fe4a46240f47310a37f1
13049,Diner,4c49fe4a46240f47310a37f1
13152,Brasserie,4c49fe4a46240f47310a37f1
13025,Wine Bar,4da74bddf7b15dc952f74dd1
13034,Café,4da74bddf7b15dc952f74dd1
13065,Restaurant,4da74bddf7b15dc952f74dd1
13065,Restaurant,582d8fbd761b1a6099db6ca5
13065,Restaurant,5238a8c711d28a3c7a057397
13064,Pizzeria,5471f9b3498e6e2065dc3ad4
13236,Italian Restaurant,5471f9b3498e6e2065dc3ad4
13099,Chinese Restaurant,5ccb52df66fc65002c7d0e92
13148,French Restaurant,4fc67af1e4b0284ec0749b7d
13310,Modern European Restaurant,4fc67af1e4b0284ec0749b7d
17018,Bookstore,4b7fdbe1f964a5201e4130e3
17080,Wine Store,58c2fe0624f61156f4b8d053
16032,Park,4adcda0af964a520243421e3
16032,Park,4dd7daae7d8b322663f9a365
13064,Pizzeria,5803e6d738fa97c7dd1a2e8c
13039,Deli,4b72abfcf964a52024832de3
13148,French Restaurant,4b72abfcf964a52024832de3
13025,Wine Bar,4d146be7816af04d9ac63bc2
13039,Deli,4d146be7816af04d9ac63bc2
13145,Fast Food Restaurant,4d146be7816af04d9ac63bc2
13236,Italian Restaurant,4ca4d10eb0ff8cfa3811c35e
13027,Bistro,52d925e8498e01837e63f370
13148,French Restaurant,52d925e8498e01837e63f370
13064,Pizzeria,4c2ba00a8ef52d7f3eaf31ba
13236,Italian Restaurant,4c2ba00a8ef52d7f3eaf31ba
13313,Moroccan Restaurant,4ce6e22a9f776ea8d3755422
13003,Bar,4ebc0fae9adf82e8066f73ec
13065,Restaurant,4ebc0fae9adf82e8066f73ec
13068,American Restaurant,4f129ec2c2ee45f86a798910
10037,Concert Hall,51072ecc00cafb926bac068d
10039,Music Venue,51072ecc00cafb926bac068d
13065,Restaurant,51072ecc00cafb926bac068d
13002,Bakery,52ee129911d25876028a0ee6
13065,Restaurant,52ee129911d25876028a0ee6
10004,Art Gallery,4bd18f93462cb713045cda07
